Time,Ground Truth,Estimation
2020-06-28 16:25:15,24,16
2020-06-28 16:25:25,44,16
2020-06-28 16:25:35,63,64
2020-06-28 16:25:45,69,49
2020-06-28 16:25:55,75,91
2020-06-28 16:26:05,78,96
2020-06-28 16:26:15,79,64
2020-06-28 16:26:25,80,128
2020-06-28 16:26:35,76,64
2020-06-28 16:26:45,75,64
2020-06-28 16:26:55,72,100
2020-06-28 16:27:05,79,128
2020-06-28 16:27:15,73,204
2020-06-28 16:27:25,68,192
2020-06-28 16:27:35,66,128
2020-06-28 16:27:45,64,32
2020-06-28 16:27:55,64,64
2020-06-28 16:28:05,71,42
2020-06-28 16:28:15,68,45
2020-06-28 16:28:25,77,41
2020-06-28 16:28:35,69,40
2020-06-28 16:28:45,69,32
2020-06-28 16:28:55,71,32
2020-06-28 16:29:05,81,64
2020-06-28 16:29:15,76,64
2020-06-28 16:29:25,73,92
2020-06-28 16:29:35,71,27
2020-06-28 16:29:45,77,28
2020-06-28 16:29:55,66,96
2020-06-28 16:30:05,61,91
2020-06-28 16:30:15,64,85
2020-06-28 16:30:25,70,96
2020-06-28 16:30:35,69,58
2020-06-28 16:30:45,70,69
2020-06-28 16:30:55,67,66
2020-06-28 16:31:05,68,64
2020-06-28 16:31:15,70,104
2020-06-28 16:31:25,68,104
2020-06-28 16:31:35,67,213
2020-06-28 16:31:45,70,224
2020-06-28 16:31:55,74,96
2020-06-28 16:32:05,67,32
2020-06-28 16:32:15,61,32
2020-06-28 16:32:25,68,32
2020-06-28 16:32:35,76,45
2020-06-28 16:32:45,77,64
2020-06-28 16:32:55,76,64
2020-06-28 16:33:05,69,87
2020-06-28 16:33:15,74,32
2020-06-28 16:33:25,68,67
2020-06-28 16:33:35,67,40
2020-06-28 16:33:45,67,37
2020-06-28 16:33:55,61,39
2020-06-28 16:34:05,71,41
2020-06-28 16:34:15,73,128
2020-06-28 16:34:25,70,128
2020-06-28 16:34:35,64,102
2020-06-28 16:34:45,54,35
2020-06-28 16:34:55,57,34
2020-06-28 16:35:05,64,39
2020-06-28 16:35:15,60,42
2020-06-28 16:35:25,60,64
2020-06-28 16:35:35,61,64
2020-06-28 16:35:45,65,64
2020-06-28 16:35:55,69,32
2020-06-28 16:36:05,72,32
2020-06-28 16:36:15,71,88
2020-06-28 16:36:25,73,100
2020-06-28 16:36:35,67,41
2020-06-28 16:36:45,66,32
2020-06-28 16:36:55,60,32
2020-06-28 16:37:05,63,64
2020-06-28 16:37:15,65,48
2020-06-28 16:37:25,68,40
2020-06-28 16:37:35,68,32
2020-06-28 16:37:45,73,32
2020-06-28 16:37:55,71,32
2020-06-28 16:38:05,68,44
2020-06-28 16:38:15,69,46
2020-06-28 16:38:25,68,32
2020-06-28 16:38:35,66,64
